cod,depto,municipio,cep1v,abe1v,margen1v,cep2v,abe2v,margen2v,delta_margen,share_abe2v_pct,share_abe_esperado_pct,over_pp,over_votos,votant1v,votant2v,delta_votant,matched
48001,La Guajira,RIOHACHA,37453,26917,-10536,50857,32776,-18081,-7545,39.19,43.26,-4.07,-3405,70779,85539,14760,1
48013,La Guajira,SAN JUAN DEL CESAR,7360,10232,2872,9228,12729,3501,629,57.97,59.01,-1.04,-227,18906,22336,3430,1
48016,La Guajira,URIBIA,12551,8026,-4525,22343,14052,-8291,-3766,38.61,40.9,-2.29,-833,22886,37678,14792,1
48018,La Guajira,URUMITA,3036,2087,-949,3756,2398,-1358,-409,38.97,41.09,-2.13,-130,5345,6239,894,1
48020,La Guajira,VILLANUEVA,5027,4316,-711,6317,5397,-920,-209,46.07,47.12,-1.04,-122,10080,11955,1875,1
50070,Guainía,BARRANCOMINAS,1457,124,-1333,2294,194,-2100,-767,7.8,10.2,-2.4,-59,1724,2518,794,1
50073,Guainía,CACAHUAL,31,4,-27,35,16,-19,8,31.37,13.06,18.32,9,41,51,10,1
50001,Guainía,INIRIDA,4926,3351,-1575,6846,4663,-2183,-608,40.52,43.91,-3.4,-391,9623,11772,2149,1
50078,Guainía,LA GUADALUPE,25,24,-1,28,41,13,14,59.42,50.45,8.97,6,63,70,7,1
50083,Guainía,MORICHAL (MORICHAL NUEVO),43,4,-39,57,32,-25,14,35.96,19.77,16.19,14,56,90,34,1
50087,Guainía,PANA PANA (CAMPO ALEGRE),144,36,-108,164,108,-56,52,39.71,33.24,6.46,17,247,278,31,1
