salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
jal>concejo,2011,2015,IRMA VALENCIA ARIAS,IRMA VALENCIA ARIAS,24,24-025,03,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,306,214,0.6993,214,16,0.0748,,,
jal>concejo,2011,2015,WLADIMIR ANTONIO BOLANOS SANCHEZ,WLADIMIR ANTONIO BOLANOS SANCHEZ,01,01-151,01,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,305,241,0.7902,241,49,0.2033,,,
jal>concejo,2011,2015,NAFER YAKELINE NOVOA MUNOZ,NAFER YAKELINE NOVOA MUNOZ,13,13-001,38,PARTIDO LIBERAL COLOMBIANO,PARTIDO CENTRO DEMOCRÁTICO,false,304,376,1.2368,376,66,0.1755,,,
jal>concejo,2011,2015,JHON FREDY VALENCIA CARDONA,JHON FREDY VALENCIA CARDONA,24,24-001,13,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,303,279,0.9208,279,3,0.0108,,,
jal>concejo,2011,2015,CLARIVEL RODRIGUEZ BONILLA,CLARIVEL RODRIGUEZ BONILLA,24,24-001,11,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,301,364,1.2093,364,3,0.0082,,,
jal>concejo,2011,2015,MODESTO ZUNIGA VENTE,MODESTO ZUNIGA VENTE,31,31-019,02,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,301,210,0.6977,210,141,0.6714,,,
jal>concejo,2011,2015,LUIS FERNANDO DUQUE LOPEZ,LUIS FERNANDO DUQUE LOPEZ,09,09-001,09,MOVIMIENTO DE INCLUSION Y OPORTUNIDADES,PARTIDO CAMBIO RADICAL,false,301,750,2.4917,750,289,0.3853,,,
jal>concejo,2011,2015,REINALDO JORGE CARDONA VALENCIA,REINALDO JORGE CARDONA VALENCIA,09,09-001,03,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,301,188,0.6246,188,35,0.1862,,,
jal>concejo,2011,2015,JOSE ANDRES UCROS DE LUQUEZ,JOSE ANDRES UCROS DE LUQUEZ,48,48-001,02,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,297,50,0.1684,50,6,0.12,,,
jal>concejo,2011,2015,MIREYA PRIETO VARGAS,MIREYA PRIETO VARGAS,15,15-340,04,PARTIDO LIBERAL COLOMBIANO,MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA,false,296,8,0.027,8,2,0.25,,,
jal>concejo,2011,2015,CRISTIAN ARLEY CONDE,CRISTIAN ARLEY CONDE,19,19-001,05,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,295,164,0.5559,164,11,0.0671,,,
jal>concejo,2011,2015,GLORIA AMANDA ORTIZ MINOTTA,GLORIA AMANDA ORTIZ MINOTTA,31,31-019,02,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,295,149,0.5051,149,120,0.8054,,,
jal>concejo,2011,2015,MARELBY DEL PILAR GAITAN PALACIO,MARELBY DEL PILAR GAITAN PALACIO,03,03-001,02,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",false,294,73,0.2483,73,18,0.2466,,,
jal>concejo,2011,2015,MORALBA IJAJI BAOS,MORALBA IJAJI BAOS,11,11-001,07,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,293,675,2.3038,675,214,0.317,,,
jal>concejo,2011,2015,LUZ ELENA SOGAMOSO SUAREZ,LUZ ELENA SOGAMOSO SUAREZ,19,19-001,01,MOVIMIENTO DE INCLUSION Y OPORTUNIDADES,MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA,false,292,52,0.1781,52,23,0.4423,,,
jal>concejo,2011,2015,ALFONSO SUAREZ TORRES,ALFONSO SUAREZ TORRES,46,46-001,02,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,291,108,0.3711,108,37,0.3426,,,
jal>concejo,2011,2015,LUIS EMILIO FONSECA SANTIAGO,LUIS EMILIO FONSECA SANTIAGO,16,16-001,19,PARTIDO DE INTEGRACION NACIONAL,PARTIDO OPCIÓN CIUDADANA,false,279,508,1.8208,508,190,0.374,,,
jal>concejo,2011,2015,FRANKLIN ENRIQUE PAREJO AYALA,FRANKLIN ENRIQUE PAREJO AYALA,21,21-016,02,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,278,169,0.6079,169,57,0.3373,,,
jal>concejo,2011,2015,SEGUNDO DIMAS VALENCIA QUINONES,SEGUNDO DIMAS VALENCIA QUINONES,31,31-055,01,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA,PARTIDO CAMBIO RADICAL,false,277,80,0.2888,80,32,0.4,,,
jal>concejo,2011,2015,PAULA ANDREA VELEZ ECHAVARRIA,PAULA ANDREA VELEZ ECHAVARRIA,01,01-049,02,PARTIDO VERDE,MOVIMIENTO CÍVICO CIUDAD BELLO,false,276,71,0.2572,71,7,0.0986,,,
jal>concejo,2011,2015,RICAURTER RIASCOS ALEGRIA,RICAURTER RIASCOS ALEGRIA,31,31-019,01,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,276,82,0.2971,82,52,0.6341,,,
jal>concejo,2011,2015,CARLOS ANDRES SAMBONI SANCHEZ,CARLOS ANDRES SAMBONI SANCHEZ,19,19-061,99,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,273,187,0.685,187,110,0.5882,,,
jal>concejo,2011,2015,LILIANA GONZALEZ SANDOVAL,LILIANA GONZALEZ SANDOVAL,48,48-010,03,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,273,26,0.0952,26,5,0.1923,,,
jal>concejo,2011,2015,ELIZABETH BELTRAN RODRIGUEZ,ELIZABETH BELTRAN RODRIGUEZ,31,31-001,14,PARTIDO CAMBIO RADICAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,false,272,339,1.2463,339,185,0.5457,,,
jal>concejo,2011,2015,YALEDYS JAIMES JAIMES,YALEDYS JAIMES JAIMES,12,12-001,02,PARTIDO LIBERAL COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,false,271,67,0.2472,67,20,0.2985,,,
jal>concejo,2011,2015,MARIA MERCEDES NAVARRO HERNANDEZ,MARIA MERCEDES NAVARRO HERNANDEZ,27,27-019,03,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,266,70,0.2632,70,31,0.4429,,,
jal>concejo,2011,2015,GILMA MERCEDES BALLESTAS OLIVERO,GILMA MERCEDES BALLESTAS OLIVERO,21,21-001,01,PARTIDO SOCIAL DE UNIDAD NACIONAL,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",false,261,188,0.7203,188,124,0.6596,,,
jal>concejo,2011,2015,MARIA NORA ECHEVERRY SANCHEZ,MARIA NORA ECHEVERRY SANCHEZ,31,31-022,03,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,260,93,0.3577,93,32,0.3441,,,
jal>concejo,2011,2015,LUZ MARY CORREA CASTRO,LUZ MARY CORREA CASTRO,31,31-079,04,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,260,84,0.3231,84,3,0.0357,,,
jal>concejo,2011,2015,LIMBANIA MARIA COBO CALERO,LIMBANIA MARIA COBO CALERO,31,31-022,01,PARTIDO LIBERAL COLOMBIANO,PARTIDO CAMBIO RADICAL,false,257,204,0.7938,204,37,0.1814,,,
jal>concejo,2011,2015,CESAR AUGUSTO LOPEZ AGUIRRE,CESAR AUGUSTO LOPEZ AGUIRRE,01,01-049,000,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,256,353,1.3789,353,35,0.0992,,,
jal>concejo,2011,2015,ROBERTO CARLOS MARTINEZ PATERNINA,ROBERTO CARLOS MARTINEZ PATERNINA,28,28-001,01,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,false,256,100,0.3906,100,3,0.03,,,
jal>concejo,2011,2015,DORIS AIDA ESTRADA OROZCO,DORIS AIDA ESTRADA OROZCO,24,24-025,000,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,252,120,0.4762,120,74,0.6167,,,
jal>concejo,2011,2015,CESAR AUGUSTO BURGOS ANAYA,CESAR AUGUSTO BURGOS ANAYA,13,13-001,04,PARTIDO CONSERVADOR COLOMBIANO,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",false,251,184,0.7331,184,81,0.4402,,,
jal>concejo,2011,2015,CARMEN DEIFILIA OSORIO JARAMILLO,CARMEN DEIFILIA OSORIO JARAMILLO,31,31-022,03,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,251,25,0.0996,25,7,0.28,,,
jal>concejo,2011,2015,MERCEDES ORTIZ GONGORA,MERCEDES ORTIZ GONGORA,15,15-109,02,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,247,75,0.3036,75,37,0.4933,,,
jal>concejo,2011,2015,WILSON EMILIO PINTO JIMENEZ,WILSON EMILIO PINTO JIMENEZ,16,16-001,16,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,241,724,3.0041,724,65,0.0898,,,
jal>concejo,2011,2015,DANIEL ENRIQUE QUINONES DIAZ,DANIEL ENRIQUE QUINONES DIAZ,31,31-022,03,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,241,467,1.9378,467,140,0.2998,,,
jal>concejo,2011,2015,DORA YANETH CRISTANCHO PATINO,DORA YANETH CRISTANCHO PATINO,07,07-079,03,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,240,263,1.0958,263,54,0.2053,,,
jal>concejo,2011,2015,LUIS GUILLERMO MEDINA CACERES,LUIS GUILLERMO MEDINA CACERES,07,07-079,04,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,239,59,0.2469,59,17,0.2881,,,
jal>concejo,2011,2015,WILLIAM DE JESUS PULGARIN RESTREPO,WILLIAM DE JESUS PULGARIN RESTREPO,01,01-049,01,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,238,186,0.7815,186,34,0.1828,,,
jal>concejo,2011,2015,STEFANIA CABALLERO MALDONADO,STEFANIA CABALLERO MALDONADO,03,03-001,01,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,235,215,0.9149,215,89,0.414,,,
jal>concejo,2011,2015,EIBER HERNAN GARCIA GALLEGO,EIBER HERNAN GARCIA GALLEGO,31,31-121,02,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,235,21,0.0894,21,12,0.5714,,,
jal>concejo,2011,2015,LUZ MYRIAM VALENCIA OBANDO,LUZ MYRIAM VALENCIA OBANDO,31,31-034,06,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,233,57,0.2446,57,15,0.2632,,,
jal>concejo,2011,2015,LUZ DARY HENAO ARIAS,LUZ DARY HENAO ARIAS,24,24-001,14,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,231,241,1.0433,241,4,0.0166,,,
jal>concejo,2011,2015,EDWIN CARRILLO CASTRO,EDWIN CARRILLO CASTRO,27,27-001,03,PARTIDO DE INTEGRACION NACIONAL,PARTIDO OPCIÓN CIUDADANA,false,231,987,4.2727,987,131,0.1327,,,
jal>concejo,2011,2015,MARIO ANDRES BERMUDEZ,MARIO ANDRES BERMUDEZ,31,31-055,04,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,231,274,1.1861,274,128,0.4672,,,
jal>concejo,2011,2015,JOSE GREGORIO MARIMON RAMOS,JOSE GREGORIO MARIMON RAMOS,05,05-118,03,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,231,84,0.3636,84,8,0.0952,,,
jal>concejo,2011,2015,AYDEE GALLEGO GIRALDO,AYDEE GALLEGO GIRALDO,24,24-086,04,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO ALIANZA VERDE,false,230,108,0.4696,108,39,0.3611,,,
jal>concejo,2011,2015,DANILA GUZMAN MARTINEZ,DANILA GUZMAN MARTINEZ,24,24-001,07,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,227,230,1.0132,230,0,0,,,
jal>concejo,2011,2015,KATHERINE MOSQUERA GAMBOA,KATHERINE MOSQUERA GAMBOA,31,31-079,01,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,227,70,0.3084,70,5,0.0714,,,
jal>concejo,2011,2015,ENRIQUE DE JESUS MARIA RODRIGUEZ CONTRERAS,ENRIQUE DE JESUS MARIA RODRIGUEZ CONTRERAS,07,07-079,05,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,227,65,0.2863,65,11,0.1692,,,
jal>concejo,2011,2015,ANDRES DAMIAN VILLA ROSALES,ANDRES DAMIAN VILLA ROSALES,31,31-001,04,"MOVIMIENTO ""MIRA""",MOVIMIENTO MIRA,true,224,691,3.0848,691,317,0.4588,,,
