NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION NO SITIOS,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
Banco de Alimentos de Cali,Cali,Valle del Cauca,Calle 24 #6-103,"Alimentos no perecederos, agua embotellada, primeros auxilios",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,,,
Fundación Banco Arquidiocesano de Alimentos,Medellín,Antioquia,Carrera 52 #30A-97,"Alimentos no perecederos, aseo, colchonetas, ropa, mantas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACION PRIVADA,,
Fundación Saciar,Medellín,Antioquia,Carrera 50 #25-261,"Alimentos no perecederos, aseo, colchonetas, ropa, mantas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACION PRIVADA,,
Centro de acopio Barranquillita,Barranquilla,Atlántico,Carrera 43 #6-120,"Alimentos no perecederos, agua, insumos médicos, aseo, artículos para bebés, ropa, colchonetas",0:00,23:59,TODOS LOS DIAS,NO,SIN DATO,SIN DATO,agosto 14,,,
Canchas auxiliares - Bomberos Palogrande,Manizales,Caldas,Junto a la estación de Bomberos Palogrande,"Alimentos no perecederos, agua, aseo",,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,OFICIAL,,
Hemocentro del Café,Manizales,Caldas,Hemocentro del Café,Donación de sangre (prioridad O+ y O-),,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,5.051628,-75.482498
Café Consota,Pereira,Risaralda,Mz 7 y Mz 8 Villa Consota Cuba,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,4.809147,-75.722029
Café Perla del Otún,Pereira,Risaralda,Diagonal a la iglesia de los 2.500 lotes,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,,
Café El Remanso,Pereira,Risaralda,"Avenida principal barrio El Remanso, al lado del centro de salud","Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,,
Café Kennedy,Pereira,Risaralda,Parque principal de Kennedy,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SEDE COMUNITARIA,,
