NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR
SOS JUNTOS POR EL CHOCÓ Cra 29,Bogotá,Bogotá D.C.,Cra 29 #39-92,SIN DATO,8:00 am,6:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
TEATRO DE GARAJE,Bogotá,Bogotá D.C.,Carrera 10 # 54A-27,SIN DATO,SIN DATO,Desde la 1pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
THE SPOT PARK,Bogotá,Bogotá D.C.,CARRERA 13A #37-68,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
UNAL CAPILLA,Bogotá,Bogotá D.C.,Universidad Nacional,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,UNIVERSIDAD
UNIAGRARIA,Bogotá,Bogotá D.C.,CALLE 170 #54A - 10 SALA DE JUNTAS BLOQUE C,"KITS DE HIGIENE PERSONAL, KITS DE HABITAT (COBIJAS, SABANAS, COLCHONETAS SENCILLA, ALMOHADA, TOLDILLOS) MASCOTAS ( CONCENTRADO, ALIMENTO HUMEDO, SNACKS, MEDICAMENTOS, GUACALES)",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
UNICENTRO,Bogotá,Bogotá D.C.,CARRERA15 #124-30,"🚨 ÚLTIMA HORA - Información Acopio Unicentro, Bogotá. (9 am - 6 pm) · Actualización: 1:55 pm, agosto 14. · ⛑️ El equipo médico acaba de confirmar la total excases de medicamento MUY necesarios para…",9:00 am,9:00 pm,SIN DATO,NO,SIN DATO,3106486849,agosto 14,CENTRO COMERCIAL
UNIVERSIDAD COOPERATIVA,Bogotá,Bogotá D.C.,CARRERA 9 # 172-90,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,UNIVERSIDAD
UNIVERSIDAD DISTRITAL BOSA,Bogotá,Bogotá D.C.,Calle 52 Sur # 93D - 97,👉🏼*NO se requieren voluntarios* hoy jueves 13 y viernes 14. En la tarde actualizamos sobre cupos fin de semana.,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,UNIVERSIDAD
VIVE CLARO,Bogotá,Bogotá D.C.,CARRERA 60 #42-41,SIN DATO,SIN DATO,Viernes 14 y sábado 15 desde medio día,SIN DATO,NO,SIN DATO,3162733960,agosto 14,SIN DATO
Cuerpo Bomberos Mosquera,Mosquera,Cundinamarca,"Calle 2 # 5E-36, Mosquera",SIN DATO,SIN DATO,Desde 4:30pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
Cuerpo de Bomberos Cajicá,Cajicá,Cundinamarca,Transversal 5A N° 3-140 Sur,SIN DATO,8:00 am,5:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
FUNZA Interpark -,Funza,Cundinamarca,"Parque industrial interpark kilometro 6,5 autopista Medellín - cundinamarca · https://share.google/MJBcbrilI3AACcMZV",SIN DATO,SIN DATO,YA MISMO,SIN DATO,NO,SIN DATO,3173088779,agosto 14,BODEGA
JIT LOGISTIC - FUNDACIÓN TAAP,Mosquera,Cundinamarca,Mosquera Cundinamarca KM 1.5 VIA Bogotá,SIN DATO,9:00 am,4:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACIÓN
